Altium Designer Pick and Place Locations
E:\Du_an_ca_nhan\KEYPAD_OLED\KEYPAD_OLED\Project Outputs for KEYPAD_OLED\Pick Place for KEYPAD_OLED_1.csv

========================================================================================================================
File Design Information:

Date:       23/08/21
Time:       14:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Height(mm)"
"C1","TopLayer","118.0250","17.5000","180","4.3000"
"C2","TopLayer","80.5750","14.4000","180","0.8500"
"C3","TopLayer","89.3000","15.7750","90","0.8500"
"C4","TopLayer","88.2750","5.6250","270","0.8500"
"C5","TopLayer","81.7750","5.6250","270","0.8500"
"C6","TopLayer","90.8000","8.4250","360","0.8500"
"C7","TopLayer","109.3000","11.2000","360","4.3000"
"C8","TopLayer","113.3750","18.5500","360","0.8500"
"C9","TopLayer","113.3250","8.1000","180","0.8500"
"C10","TopLayer","83.1500","5.6750","90","0.8500"
"C11","TopLayer","97.2048","10.5712","90","0.8500"
"C12","TopLayer","97.2048","14.0712","270","0.8500"
"D1","TopLayer","223.8011","96.3750","360","7.6200"
"D2","TopLayer","242.8511","96.3750","360","7.6200"
"D3","TopLayer","17.6999","85.5000","90","0.0000"
"D4","TopLayer","36.7999","85.5000","90","0.0000"
"D5","TopLayer","55.8999","85.5000","90","0.0000"
"D6","TopLayer","74.8999","85.5000","90","0.0000"
"D7","TopLayer","93.8999","85.5000","90","0.0000"
"D8","TopLayer","112.9999","85.5000","90","0.0000"
"D9","TopLayer","131.9999","85.5000","90","0.0000"
"D10","TopLayer","151.0999","85.5000","90","0.0000"
"D11","TopLayer","170.1999","85.5000","90","0.0000"
"D12","TopLayer","189.1999","85.5000","90","0.0000"
"D13","TopLayer","208.2999","85.5000","90","0.0000"
"D14","TopLayer","227.2999","85.5000","90","0.0000"
"D15","TopLayer","246.2999","85.5000","90","0.0000"
"D16","TopLayer","274.8999","85.5000","90","0.0000"
"D17","TopLayer","22.4999","66.0100","90","0.0000"
"D18","TopLayer","46.2999","66.0000","90","0.0000"
"D19","TopLayer","65.3999","66.0000","90","0.0000"
"D20","TopLayer","84.3999","66.0000","90","0.0000"
"D21","TopLayer","103.4999","66.0000","90","0.0000"
"D22","TopLayer","122.4999","66.0000","90","0.0000"
"D23","TopLayer","141.5999","66.0000","90","0.0000"
"D24","TopLayer","160.5863","66.0000","90","0.0000"
"D25","TopLayer","179.5999","66.0000","90","0.0000"
"D26","TopLayer","198.6999","66.0000","90","0.0000"
"D27","TopLayer","217.7999","66.0000","90","0.0000"
"D28","TopLayer","236.7999","66.0000","90","0.0000"
"D29","TopLayer","255.8999","66.0000","90","0.0000"
"D30","TopLayer","279.6999","66.0000","90","0.0000"
"D31","TopLayer","24.8999","47.5000","90","0.0000"
"D32","TopLayer","50.8999","47.5000","90","0.0000"
"D33","TopLayer","70.0999","47.5000","90","0.0000"
"D34","TopLayer","89.1999","47.5000","90","0.0000"
"D35","TopLayer","108.1999","47.5000","90","0.0000"
"D36","TopLayer","118.9999","38.2000","360","0.0000"
"D37","TopLayer","146.2999","47.5000","90","0.0000"
"D38","TopLayer","165.3999","47.5000","90","0.0000"
"D39","TopLayer","184.2999","47.5000","90","0.0000"
"D40","TopLayer","203.4999","47.5000","90","0.0000"
"D41","TopLayer","222.4999","47.5000","90","0.0000"
"D42","TopLayer","241.5999","47.5000","90","0.0000"
"D43","TopLayer","272.4998","47.5000","90","0.0000"
"D44","TopLayer","29.5999","28.1000","90","0.0000"
"D45","TopLayer","60.5999","28.1000","90","0.0000"
"D46","TopLayer","79.5999","28.1000","90","0.0000"
"D47","TopLayer","98.6999","28.1000","90","0.0000"
"D48","TopLayer","117.6999","28.1000","90","0.0000"
"D49","TopLayer","136.8998","28.1000","90","0.0000"
"D50","TopLayer","155.7999","28.1000","90","0.0000"
"D51","TopLayer","174.8999","28.1000","90","0.0000"
"D52","TopLayer","193.8999","28.1000","90","0.0000"
"D53","TopLayer","212.9999","28.1000","90","0.0000"
"D54","TopLayer","232.0999","28.1000","90","0.0000"
"D55","TopLayer","267.7999","28.1000","90","0.0000"
"D56","TopLayer","20.0999","9.4000","90","0.0000"
"D57","TopLayer","43.8999","9.4000","90","0.0000"
"D58","TopLayer","67.7999","9.4000","90","0.0000"
"D59","TopLayer","139.1999","9.4000","90","0.0000"
"D60","TopLayer","210.5999","9.4000","90","0.0000"
"D61","TopLayer","234.3999","9.4000","90","0.0000"
"D62","TopLayer","258.1999","9.4000","90","0.0000"
"D63","TopLayer","282.0999","9.4000","90","0.0000"
"J1","BottomLayer","175.3250","14.8500","360","5.0000"
"P1","BottomLayer","5.5581","96.7712","360","0.0000"
"R1","BottomLayer","220.8500","96.4000","270","0.0000"
"R2","BottomLayer","239.8250","96.4000","270","0.0000"
"R3","TopLayer","91.3000","15.7750","90","0.0000"
"R4","TopLayer","90.8000","11.4250","180","0.0000"
"R5","TopLayer","87.3000","15.7750","90","0.0000"
"SW1","TopLayer","8.7011","88.1037","90","0.0000"
"SW2","TopLayer","27.7511","88.1037","90","0.0000"
"SW3","TopLayer","46.8012","88.1037","90","0.0000"
"SW4","TopLayer","65.8512","88.1037","90","0.0000"
"SW5","TopLayer","84.9012","88.1037","90","0.0000"
"SW6","TopLayer","103.9512","88.1037","90","0.0000"
"SW7","TopLayer","123.0012","88.1037","90","0.0000"
"SW8","TopLayer","142.0512","88.1037","90","0.0000"
"SW9","TopLayer","161.1012","88.1037","90","0.0000"
"SW10","TopLayer","180.1512","88.1037","90","0.0000"
"SW11","TopLayer","199.2012","88.1037","90","0.0000"
"SW12","TopLayer","218.2512","88.1037","90","0.0000"
"SW13","TopLayer","237.3012","88.1037","90","0.0000"
"SW14","TopLayer","265.8762","88.1037","90","0.0000"
"SW15","TopLayer","13.4649","69.0537","90","0.0000"
"SW16","TopLayer","37.2761","69.0537","90","0.0000"
"SW17","TopLayer","56.3262","69.0537","90","0.0000"
"SW18","TopLayer","75.3762","69.0537","90","0.0000"
"SW19","TopLayer","94.4262","69.0537","90","0.0000"
"SW20","TopLayer","113.4762","69.0537","90","0.0000"
"SW21","TopLayer","132.5262","69.0537","90","0.0000"
"SW22","TopLayer","151.5762","69.0537","90","0.0000"
"SW23","TopLayer","170.6262","69.0537","90","0.0000"
"SW24","TopLayer","189.6762","69.0537","90","0.0000"
"SW25","TopLayer","208.7262","69.0537","90","0.0000"
"SW26","TopLayer","227.7762","69.0537","90","0.0000"
"SW27","TopLayer","246.8262","69.0537","90","0.0000"
"SW28","TopLayer","270.6382","69.0537","90","0.0000"
"SW29","TopLayer","15.8462","50.0037","90","0.0000"
"SW30","TopLayer","41.8653","50.1395","90","0.0000"
